id,order_id,sku
78ec103c-f5c4-4294-b472-38705b5c48b1,de99d8c9-0128-4188-88f7-e44364e8161b,BEV-001
91ec32c2-a1d9-4d01-8a60-828d4b321290,3cd8c16e-ba1a-4e32-9fec-2bf03997e063,BEV-001
68034996-a9b2-4992-89ac-3a57770eaf2e,3cd8c16e-ba1a-4e32-9fec-2bf03997e063,BEV-001
018ab58c-013e-424a-b7a6-816a91d7aafa,bc68477b-4ec1-4f03-b995-7cb63a416ff7,BEV-001
60a2525a-8674-4a4b-8b67-c63432e796a1,d6287f02-006c-4d86-ba3f-bb97df240f0b,BEV-001
fe64a230-861f-4d17-b753-a0601173ec7c,d6287f02-006c-4d86-ba3f-bb97df240f0b,BEV-001
919199b4-0f92-4644-a65a-02d81da2b6d5,b8f5588c-ae9e-444a-af90-706002f0827f,BEV-001
fabe5276-ef08-4499-abc8-778f7027ce71,765493a5-6298-4d8b-873b-c043931b6a35,BEV-001
466c4edf-8a93-4f4b-a82f-d804063bab84,98225736-89cd-47dd-916f-8317a0287cc9,BEV-001
aac6dc50-a63d-409a-b4e0-9ffc17f4e664,0078b1a8-849a-419f-98a9-0952a73e4a71,BEV-001
cf3eb3d2-fbfe-48ee-8d98-84b8a8a09cb4,d68f472c-a23d-4cbf-a40a-2454b4f3227e,BEV-001
5b77f97d-08da-4ee4-b575-42260673d84f,89d08594-1b4f-4613-9bb2-ec1adf842276,BEV-001
9aa9a952-9b9a-4877-bd29-cb9b100c2027,0354793f-da46-4bc0-b2e0-ae6d83ce8fb6,BEV-001
6a184eca-aa5e-4ae0-a4fe-84d89842e4ac,aac24302-9ede-4193-9b6a-be9089559bce,BEV-001
a73623e5-70bc-459c-aa70-b16d92fbbe02,04e21f8c-187d-4f45-96aa-0075a2071160,BEV-001
4dbb2a08-f537-40ad-8230-80bd2841d187,a53ea609-19ca-49b5-914a-68409931ab23,BEV-001
2832241e-a4b9-4592-933e-439caae7c55d,d30d2222-8a07-4e01-84fb-679683b7ffe8,BEV-001
b9e42ab8-1efa-4e56-a363-868035a48161,9c1ccfc5-a24c-48ff-a5ee-485de2f54906,BEV-001
be18a5f4-1718-47f4-95c6-bd283a96ce60,2008c5a2-5009-4e02-8931-a7f4525d0e47,BEV-001
a4f1600a-3486-4f47-adc1-61974afc4065,e07f34d9-f547-454f-b31e-7892cb0010d5,BEV-001
fe33e088-bdf8-4c29-81b0-126d335426e9,f822319a-13c8-4ade-b35a-a54a831162ab,BEV-001
0be9dd95-c5d2-4d7c-a695-ab3451a76037,ded98610-a297-4978-b95d-5c3f1921482d,BEV-001
56bbb963-ab1d-4e0e-b8f2-8aaedb43e9e1,7016c6aa-d3a0-4402-a6d2-02d3b6d03201,BEV-001
a41d7300-43ba-4e3b-8a4c-9a3ef1ecad35,d39433be-2f46-428b-ae41-f9daad795685,BEV-001
ce531202-c66f-4ae6-bbe8-575416c93c43,b394cc97-c165-402d-8c9e-a6a34f18fdab,BEV-001
2e9e7ad5-66ee-4e76-8640-01b7f11da7b0,7157be03-d258-4f63-b0c7-9985a1fd7af6,BEV-001
0c2db610-6a2c-44b8-8005-5d02db317c8c,11dd2378-c12e-4d92-bb4c-3d7ee7caa1a7,BEV-001
6ba9b021-6775-45e4-a742-586bc00596f2,ca34757c-b5bb-4f8c-8c77-f5132a28e863,BEV-001
1e0678ef-326b-4ee7-b425-39535f00961e,264aabc3-ba45-449c-a463-b5f3a7890a7f,BEV-001
a118eafd-6bf7-4204-b3dc-8887b8d6c996,807156dc-f46e-4523-9431-2fc2b159bb40,BEV-001
748c7157-e8e6-47b6-a822-627bfd022ae0,2c6108a4-ac1c-4bc7-acec-865e71f8893b,BEV-001
2efdd340-a836-4161-aac1-f2e3285763ea,09c0cd3d-5550-4c41-86ea-c03f9bdc77d2,BEV-001
354b4a09-874d-403a-92b0-1b7cd64b9203,589366dc-f29b-48f9-988e-e452a9ee926c,BEV-001
ab613e8b-1ff9-4757-858a-69d948a0daab,b6198c8c-8b00-464b-b4e9-7b3bc5000a71,BEV-001
291825ab-8ba4-4e27-a06c-c01c47c5dda1,c6db0933-4afb-45f6-916f-eaa297ec3629,BEV-001
a4b3ac29-a5b6-4bd9-989d-34f5569538ee,49f313ae-2fba-49f5-be51-0dff91cfbfa1,BEV-001
4619c8a0-287d-4f8c-8482-5b2af7e43675,7af6be24-b2b1-4139-817c-7757d7c8a793,BEV-001
f46e2e5d-0d27-442b-a0e8-bd046f374197,0e3b3247-3d60-4ee5-ba7f-7baeb76e328b,BEV-001
f7fdc292-5cfd-422f-8313-71b9ce4bb370,6b509e78-8f5a-42b3-9921-63069d4b7bd1,BEV-001
